lon,lat,subbasin,n_years_days,mhw_days_sen_per_decade,mhw_days_mk_p,mhw_days_mk_tau,mhw_days_sig_p05,n_years_intensity,intensity_sen_per_decade,intensity_mk_p,intensity_mk_tau,intensity_sig_p05
87.125,19.125,Northern BoB,31,19.090909090909093,0.001959316019420898,0.3935483870967742,True,29,0.035945632798573955,0.148634710747773,0.1921182266009852,False
87.125,20.875,Northern BoB,31,16.25,0.004022224817258779,0.3655913978494624,True,27,0.008249999999999804,0.9004590609762644,0.019943019943019943,False
87.375,7.875,Southern BoB,31,11.666666666666668,0.00523167289457005,0.35053763440860214,True,22,-0.04535714285714289,0.14256865901357507,-0.22943722943722944,False
87.375,9.125,Southern BoB,31,17.142857142857142,0.0031429722531830517,0.3720430107526882,True,23,-0.019230769230769246,0.42817779030963843,-0.1225296442687747,False
87.375,19.875,Northern BoB,31,16.666666666666668,0.0005521331790603323,0.43870967741935485,True,30,0.002272727272727224,0.9289075832431797,0.013793103448275862,False
87.625,6.125,Southern BoB,31,19.090909090909093,0.00020003843682170341,0.46881720430107526,True,24,-0.029574630576868446,0.5030370130775135,-0.10144927536231885,False
87.625,20.375,Northern BoB,31,16.4,0.004712809043470267,0.35913978494623655,True,28,-0.02553968253968251,0.24376219217341522,-0.15873015873015872,False
87.625,20.875,Northern BoB,31,13.636363636363635,0.0014432699378350566,0.4043010752688172,True,27,-0.014166666666666772,0.6614730790423426,-0.06267806267806268,False
87.875,5.375,Southern BoB,31,17.2,6.857371186375083e-05,0.4989247311827957,True,22,-0.044000000000000095,0.10194847915286309,-0.2554112554112554,False
87.875,13.375,Central BoB,31,22.77777777777778,0.0010760159048801565,0.4129032258064516,True,25,0.014175724637681145,0.8517463124337419,0.03,False
87.875,18.125,Northern BoB,31,21.25,0.0008515359294718472,0.4236559139784946,True,28,0.009999999999999822,0.6782246933005027,0.0582010582010582,False
87.875,21.375,Northern BoB,31,12.0,0.00973933228503121,0.32903225806451614,True,29,-0.007751623376623317,0.7498121637483277,-0.04433497536945813,False
88.125,12.875,Central BoB,31,25.862068965517242,0.00021544841945808635,0.46881720430107526,True,25,0.0008333333333333129,1.0,0.0,False
88.125,14.625,Central BoB,31,23.88888888888889,0.008824005847292593,0.3311827956989247,True,24,-0.029027777777777757,0.5351853194474852,-0.09420289855072464,False
88.125,19.125,Northern BoB,31,27.200000000000003,0.0001370430132467959,0.4838709677419355,True,29,0.01759722222222224,0.5114817794495523,0.08866995073891626,False
