Sub_basin,Season,Index,Metric,Lag,n,r,p_eff,q_fdr
Southern,Pre-monsoon,ONI,Intensity,-2,29,0.08349896707217196,0.676094247415556,0.9072770694373178
Southern,Pre-monsoon,ONI,Intensity,-1,30,0.1730022692257428,0.37346597610978627,0.8857040783450493
Southern,Pre-monsoon,ONI,Intensity,0,31,0.1993156622995829,0.29504867110952016,0.8857040783450493
Southern,Pre-monsoon,ONI,Intensity,1,30,0.2155060496575803,0.2660201633218331,0.8857040783450493
Southern,Pre-monsoon,ONI,Intensity,2,29,-0.032948320350264806,0.8687855940912428,0.9665958927637668
Southern,Pre-monsoon,ONI,Intensity,3,28,-0.2202542958919887,0.27443694133601193,0.8857040783450493
Southern,Pre-monsoon,DMI,Exposure,-3,28,-0.08838409088442375,0.6547025586137205,0.9016793472062907
Southern,Pre-monsoon,DMI,Exposure,-2,29,-0.37228870325569885,0.04672406617389058,0.6329236289706294
Southern,Pre-monsoon,DMI,Exposure,-1,30,0.2675743249436114,0.15285799724994442,0.8245629227577517
Southern,Pre-monsoon,DMI,Exposure,0,31,0.04621048295000216,0.811346788473631,0.9498694108959582
Southern,Pre-monsoon,DMI,Exposure,1,30,0.2377347700890691,0.2220514535889202,0.8675498651846185
Southern,Pre-monsoon,DMI,Exposure,2,29,-0.024704755211430972,0.9043461538033912,0.967723439403098
